ID;Name;Status;Qualitaet;Drucker;GCode-Datei;Filament-Typ;Erstellt am;Gestartet am;Beendet am;Druckdauer (Min);Materialkosten;Maschinenkosten;Personalkosten;Gesamtkosten
;Test-Auftrag-M3N4P5;;;;cfc8c147a7153ad4_Unterteil_080925_Snapmaker.gcode;NX2;;;;;;;;
;Test-Auftrag-N9P1Q2;;;;222f8100a49c30f7_Test_Snapmaker.gcode;PLA High Speed;;;;;;;;
;Test-Auftrag-P5Q6R7;;;;ea56b0b28a5851f1_TestWurfel_Snapmaker.gcode;PolyLite PC Transparent;;;;;;;;
;Test-Auftrag-R8S9T1;;;;ea56b0b28a5851f1_TestWurfel_Snapmaker.gcode;PLA High Speed;;;;;;;;
;Test-Auftrag-S4T5U6;;;;7e6aa2b554fa10ff_bd3c2b382ddb0ef3_eyes-black_Snapmaker.gcode;PolyLite PC Transparent;;;;;;;;
;Test-Auftrag-T1U2V3;;;;222f8100a49c30f7_Test_Snapmaker.gcode;PLA High Speed;;;;;;;;
;Test-Auftrag-U7V8W9;;;;7e6aa2b554fa10ff_bd3c2b382ddb0ef3_eyes-black_Snapmaker.gcode;PolyLite PC Transparent;;;;;;;;
;Test-Auftrag-W9X1Y2;;;;ea56b0b28a5851f1_TestWurfel_Snapmaker.gcode;PLA High Speed;;;;;;;;
;Test-Auftrag-X5Y6Z7;;;;222f8100a49c30f7_Test_Snapmaker.gcode;PolyLite PC Transparent;;;;;;;;
;Test-Auftrag-Y2Z3A4;;;;3fb57d34a0061a62_e775df7da0329dbe_chrome-strips-parts_Snapmaker.gcode;NX2;;;;;;;;
;Test-Auftrag-Z8A9B1;;;;3fb57d34a0061a62_e775df7da0329dbe_chrome-strips-parts_Snapmaker.gcode;NX2;;;;;;;;
